,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,id
0,3.0,853.0,208.0,15.0,0.0,1000.0,0.0,,2.0,0.0,484.0,18.0,2.0,168.0,3.0,13.0,18.0,0.0,19.0,1337.0,89.0,15.0,,0.0,31.0,,53.0,100.0,9.0,92.0,0.0,16.0,1704.0,8.0,0.0,0.0,6.0,34.0,,5701.0,83.0,37.0,24.0,1.0,258.0,3.0,2.0,60100.0,,24.0,0.0,3756.0,31.0,35.0,0.0,0.0,62.0,13.0,105026.0,90.0,0.0,16235.0,238.0,4355.0,"(146.0, 195.0]","(200.0, 300.0]",34.0,78.0,4083.0,6.0,0.0,0.0,50000
1,2.0,1637.0,84.0,22.0,10000000000.0,10000.0,0.0,3072000.0,4.0,14330.0,1581.0,15.0,2.0,107.0,,11.0,15.0,6551.0,22.0,3218.0,31.0,13.0,10000000000.0,46.0,116.0,34571438.0,79.0,100.0,15.0,13.0,16041830.0,13.0,6860.0,11.0,10000000000.0,3280187.0,12.0,100.0,818176.0,11605.0,343.0,,49.0,2.0,739.0,7.0,4.0,118000.0,1.0,8.0,20162042.0,9076.0,59.0,14.0,0.0,1668202666.0,47.0,18.0,193108.0,263.0,0.0,34883.0,766.0,1974.0,"(287.0, 1614.0]",,14.0,60.0,1252.0,6.0,34571438.0,8333504000.0,50001
2,8.0,3120.0,1218.0,30.0,0.0,30000.0,0.0,,0.0,25350.0,2544.0,4.0,0.0,154.0,5.0,,4.0,25350.0,30.0,5692.0,91.0,,,,4.0,,,30.0,14.0,,0.0,10.0,2991.0,,0.0,0.0,2.0,354.0,,31182.0,311.0,45.0,47.0,4.0,483.0,6.0,0.0,171000.0,,8.0,0.0,17100.0,52.0,128.0,0.0,0.0,55.0,23.0,369697.0,188.0,0.0,26718.0,135.0,-9054.0,"(287.0, 1614.0]","(100.0, 200.0]",203.0,64.0,231.0,6.0,0.0,0.0,50002
3,6.0,1938.0,48.0,14.0,,1000.0,0.0,,0.0,32126.0,1649.0,9.0,3.0,174.0,4.0,5.0,2.0,,17.0,3587.0,91.0,21.0,,13.0,23.0,,74.0,70.0,9.0,153.0,,100.0,2062.0,14.0,,,0.0,67.0,,21712.0,146.0,11.0,33.0,1.0,669.0,1.0,0.0,154000.0,6.0,33.0,,1540.0,53.0,9.0,0.0,,81.0,12.0,359840.0,281.0,0.0,54464.0,155.0,2038.0,"(287.0, 1614.0]","(100.0, 200.0]",9.0,100.0,317.0,5.0,,,50003
4,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,50004
5,9.0,540.0,2100.0,13.0,0.0,3000.0,0.0,,1.0,5306.0,380.0,11.0,3.0,133.0,3.0,10.0,10.0,5306.0,27.0,920.0,63.0,24.0,,110.0,7.0,,50.0,100.0,3.0,108.0,0.0,52.0,4880.0,1.0,0.0,0.0,2.0,23.0,,26279.0,220.0,45.0,18.0,0.0,17.0,9.0,1.0,153000.0,1.0,17.0,0.0,2942.0,45.0,170.0,0.0,0.0,238.0,4.0,89978.0,6.0,0.0,4050.0,652.0,3211.0,"(0.999, 11.0]",,350.0,97.0,3239.0,6.0,0.0,0.0,50005
6,3.0,1018.0,38.0,13.0,,10000.0,0.0,,1.0,732.0,855.0,15.0,0.0,157.0,4.0,11.0,23.0,17740.0,18.0,2783.0,90.0,,,,0.0,,,23.0,3.0,82.0,,17.0,838.0,,,,1.0,40.0,,3435.0,97.0,63.0,38.0,0.0,69.0,5.0,1.0,121000.0,,22.0,,7117.0,63.0,,0.0,,59.0,9.0,185006.0,,,4123.0,232.0,0.0,,"(200.0, 300.0]",9.0,66.0,41.0,5.0,,,50006
7,,2138.0,442.0,32.0,0.0,10000.0,0.0,,6.0,0.0,2295.0,18.0,3.0,164.0,4.0,,18.0,11940.0,33.0,4433.0,92.0,,,,66.0,,,100.0,22.0,,0.0,28.0,1797.0,,0.0,0.0,12.0,160.0,,21891.0,124.0,28.0,56.0,2.0,236.0,6.0,11.0,131000.0,,8.0,0.0,4678.0,58.0,158.0,1.0,0.0,64.0,31.0,393120.0,85.0,0.0,15292.0,255.0,-6866.0,"(146.0, 195.0]","(200.0, 300.0]",73.0,88.0,152.0,6.0,0.0,0.0,50007
8,8.0,683.0,3466.0,,0.0,20.0,,,,14570.0,555.0,20.0,3.0,93.0,4.0,,20.0,14570.0,,1238.0,84.0,,,,84.0,,,100.0,,,0.0,21.0,5979.0,,0.0,0.0,,102.0,,15304.0,96.0,39.0,,3.0,210.0,5.0,,104000.0,,,0.0,4952.0,,6.0,0.0,0.0,113.0,,209120.0,66.0,0.0,23888.0,,-1306.0,"(111.0, 146.0]",,693.0,168.0,,6.0,0.0,0.0,50008
9,1.0,1508.0,64.0,8.0,,10000.0,0.0,,2.0,30000.0,955.0,6.0,0.0,181.0,5.0,16.0,6.0,30200.0,40.0,2464.0,90.0,,,,52.0,,100.0,15.0,6.0,320.0,,25.0,887.0,,,,5.0,67.0,,30000.0,241.0,64.0,14.0,1.0,578.0,4.0,3.0,213600.0,,15.0,,8544.0,99.0,4.0,0.0,,92.0,6.0,186157.0,282.0,0.0,53644.0,839.0,1293.0,"(287.0, 1614.0]",,10.0,75.0,783.0,5.0,,,50009
